archivo,familia,base,anio,cobertura,nivel,grado,area,nivel_grado_inferido
2017 Caracteristicas - agregada.xlsx,RA,Caracteristicas,2017.0,,,,,
2017 Cargos - agregada.xlsx,RA,Cargos,2017.0,,,,,
2017 Cargos Bis - agregada.xlsx,RA,Cargos Bis,2017.0,,,,,
2017 Matricula - agregada.xlsx,RA,Matricula,2017.0,,,,,
2017 Matricula por edad - agregada.xlsx,RA,Matricula por edad,2017.0,,,,,
2017 Poblacion - agregada.xlsx,RA,Poblacion,2017.0,,,,,
2017 Trayectoria - agregada.xlsx,RA,Trayectoria,2017.0,,,,,
2018 Base APRENDER - Agregada - Desempeños de Lengua.xlsx,APRENDER,,2018.0,Censal,Primaria,6 grado,Lengua,True
2018 Base APRENDER - Agregada - Desempeños de Matematica.xlsx,APRENDER,,2018.0,Censal,Primaria,6 grado,Matematica,True
2018 Base APRENDER - Agregada - Solo CC.xlsx,APRENDER,,2018.0,Censal,Primaria,6 grado,Solo CC,True
2018 Caracteristicas - agregada.xlsx,RA,Caracteristicas,2018.0,,,,,
2018 Cargos - agregada.xlsx,RA,Cargos,2018.0,,,,,
2018 Cargos Bis - agregada.xlsx,RA,Cargos Bis,2018.0,,,,,
2018 Matricula - agregada.xlsx,RA,Matricula,2018.0,,,,,
2018 Matricula por edad - agregada.xlsx,RA,Matricula por edad,2018.0,,,,,
2018 Poblacion - agregada.xlsx,RA,Poblacion,2018.0,,,,,
2018 Trayectoria - agregada.xlsx,RA,Trayectoria,2018.0,,,,,
2019 Base APRENDER - Censal - Secundaria 5-6 año - Agregada - Desempeños de Lengua.xlsx,APRENDER,,2019.0,Censal,Secundaria,5-6 año,Lengua,False
2019 Base APRENDER - Censal - Secundaria 5-6 año - Agregada - Desempeños de Matematica.xlsx,APRENDER,,2019.0,Censal,Secundaria,5-6 año,Matematica,False
2019 Base APRENDER - Censal - Secundaria 5-6 año - Agregada - Solo CC.xlsx,APRENDER,,2019.0,Censal,Secundaria,5-6 año,Solo CC,False
2019 Base APRENDER - Muestral  - Secundaria 5-6 año - Agregada - Desempeños de Ciencias naturales.xlsx,APRENDER,,2019.0,Muestral,Secundaria,5-6 año,Ciencias Naturales,False
2019 Base APRENDER - Muestral  - Secundaria 5-6 año - Agregada - Desempeños de Ciudadania.xlsx,APRENDER,,2019.0,Muestral,Secundaria,5-6 año,Ciudadania,False
2019 Caracteristicas - agregada.xlsx,RA,Caracteristicas,2019.0,,,,,
2019 Cargos - agregada.xlsx,RA,Cargos,2019.0,,,,,
2019 Cargos Bis - agregada.xlsx,RA,Cargos Bis,2019.0,,,,,
2019 Matricula - agregada.xlsx,RA,Matricula,2019.0,,,,,
2019 Matricula por edad - agregada.xlsx,RA,Matricula por edad,2019.0,,,,,
2019 Poblacion - agregada.xlsx,RA,Poblacion,2019.0,,,,,
2019 Trayectoria - agregada.xlsx,RA,Trayectoria,2019.0,,,,,
2020 Caracteristicas - agregada.xlsx,RA,Caracteristicas,2020.0,,,,,
2020 Cargos - agregada.xlsx,RA,Cargos,2020.0,,,,,
2020 Cargos Bis - agregada.xlsx,RA,Cargos Bis,2020.0,,,,,
2020 Matricula - agregada.xlsx,RA,Matricula,2020.0,,,,,
2020 Matricula por edad - agregada.xlsx,RA,Matricula por edad,2020.0,,,,,
2020 Poblacion - agregada.xlsx,RA,Poblacion,2020.0,,,,,
